from_web_code,from_web_name,from_stop_id,to_web_code,to_web_name,to_stop_id,peak_fare,low_fare,senior_fare,dist,time
7,Woodley Park-Zoo/Adams Morgan,4905,66,Cheverly,999,3.85,2.75,1.9,8.95,32.0
7,Woodley Park-Zoo/Adams Morgan,4905,97,Clarendon,12648,2.8,2.05,1.4,5.17,22.0
7,Woodley Park-Zoo/Adams Morgan,4905,8,Cleveland Park,4912,2.1,1.7,1.05,0.71,2.0
7,Woodley Park-Zoo/Adams Morgan,4905,79,College Park-U of MD,11733,4.25,3.3,2.1,10.31,30.0
7,Woodley Park-Zoo/Adams Morgan,4905,75,Columbia Heights,25552,2.15,1.75,1.05,3.14,20.0
7,Woodley Park-Zoo/Adams Morgan,4905,86,Congress Heights,4655,3.35,2.65,1.65,7.04,25.0
7,Woodley Park-Zoo/Adams Morgan,4905,96,Court House,12488,2.65,2.05,1.3,4.68,20.0
7,Woodley Park-Zoo/Adams Morgan,4905,45,Crystal City,9720,3.05,2.05,1.5,6.0,24.0
7,Woodley Park-Zoo/Adams Morgan,4905,65,Deanwood,5030,3.6,2.75,1.8,7.92,30.0
7,Woodley Park-Zoo/Adams Morgan,4905,102,Dunn Loring-Merrifield,11602,4.8,3.5,2.4,12.32,38.0
7,Woodley Park-Zoo/Adams Morgan,4905,6,Dupont Circle,4956,2.1,1.7,1.05,0.6,2.0
7,Woodley Park-Zoo/Adams Morgan,4905,100,East Falls Church,12282,3.7,2.75,1.85,8.28,31.0
7,Woodley Park-Zoo/Adams Morgan,4905,60,Eastern Market,6479,2.6,2.05,1.3,4.62,22.0
7,Woodley Park-Zoo/Adams Morgan,4905,49,Eisenhower Avenue,9880,4.3,3.35,2.15,10.48,35.0
7,Woodley Park-Zoo/Adams Morgan,4905,4,Farragut North,5635,2.1,1.7,1.05,1.7,4.0
7,Woodley Park-Zoo/Adams Morgan,4905,38,Farragut West,7932,2.1,1.7,1.05,2.56,13.0
7,Woodley Park-Zoo/Adams Morgan,4905,58,Federal Center SW,7333,2.3,1.85,1.15,3.71,18.0
7,Woodley Park-Zoo/Adams Morgan,4905,53,Federal Triangle,7671,2.1,1.7,1.05,2.67,12.0
7,Woodley Park-Zoo/Adams Morgan,4905,40,Foggy Bottom-GWU,8040,2.1,1.7,1.05,2.79,15.0
7,Woodley Park-Zoo/Adams Morgan,4905,32,Forest Glen,21029,4.0,2.75,2.0,9.48,27.0
7,Woodley Park-Zoo/Adams Morgan,4905,28,Fort Totten,5305,2.9,2.05,1.45,5.52,18.0
7,Woodley Park-Zoo/Adams Morgan,4905,95,Franconia-Springfield,14816,5.75,3.5,2.85,15.82,46.0
7,Woodley Park-Zoo/Adams Morgan,4905,11,Friendship Heights,4364,2.1,1.7,1.05,3.07,10.0
7,Woodley Park-Zoo/Adams Morgan,4905,21,Gallery Pl-Chinatown,7474,2.1,1.7,1.05,2.62,7.0
