6384765-3,53129924,53129925,205.144511
6384765-2,53129923,53129924,126.007652
6384765-5,53129927,53085944,70.168490
6384765-4,53129925,53129927,203.477454
6384765-7,53119150,53129929,69.041761
6384765-6,53085944,53119150,135.088595
6396913-16,53144992,53144993,67.703752
6396913-15,53144991,53144992,82.749022
6396913-14,53072134,53144991,82.749012
6396913-13,53143476,53072134,82.749003
6396913-12,53144989,53143476,75.226359
6396913-11,53144988,53144989,45.135812
6396913-10,53144987,53144988,90.733184
6426480-0,53181923,53181925,51.395106
6388715-0,53086619,53090755,74.093153
6502306-0,53112776,53078056,122.377864
6371710-1,53113609,53114078,94.161810
6392828-12,53140473,53140474,90.260778
6392828-13,53140474,53140475,112.901177
6392828-10,53112865,53072857,105.304265
6392828-11,53072857,53140473,105.304252
6392828-16,53064965,53140478,90.942325
6392828-17,53140478,53133497,60.850659
6392828-14,53140475,53140476,97.782487
6392828-15,53140476,53064965,112.825933
6392828-18,53133497,53140479,29.409897
6392828-19,53140479,53140481,46.478673
6366469-4,53108152,53108154,74.611543
4810379-0,30888242,30888243,67.808082
6366469-3,53108151,53108152,83.448110
6366469-0,53108149,53108150,30.304732
6366469-1,53108150,59713400,39.520550
15367131-0,152264664,53067924,193.779143
15367131-1,53067924,53067925,162.889473
15367131-2,53067925,53067926,143.399195
15367131-3,53067926,53067931,301.179310
6457422-9,53209537,53123881,80.238460
6509865-7,53097841,53247596,233.575634
6509865-6,53162662,53097841,169.683228
6509865-5,53222752,53162662,199.802710
6509865-4,59948458,53222752,200.758126
6509865-3,53224599,59948458,168.037732
6509865-2,53149291,53224599,165.205270
6509865-1,53174595,53149291,162.239099
6509865-0,31251602,53174595,70.926438
6484869-3,53078451,53163501,52.238603
6509865-8,53247596,53237239,101.596451
6503125-0,53222471,53205241,147.246406
9116356-0,67507480,67507488,203.307535
6503125-2,53186629,53243970,73.056669
6450917-16,53195434,53186702,83.789778
6450917-17,53186702,53203986,69.534534
6450917-14,53203985,53052524,39.935705
6450917-15,53052524,53195434,38.967260
6450917-12,53108373,53052529,41.061620
6450917-13,53052529,53203985,43.966868
6450917-10,53123878,267561345,44.484888
6450917-11,267561345,53108373,39.928100
22716995-8,53114104,53238641,44.608279
6450917-18,53203986,53100284,103.111974
6450917-19,53100284,53203987,100.056771
4708388-0,29972814,53224599,172.985873
6345302-1,53068954,53069859,135.734534
6345302-0,53073913,53068954,142.662607
6383154-0,53128042,53128043,55.799833
6383154-1,53128043,53084810,133.793994
6461869-0,53124821,53213303,799.263470
6366473-0,53108157,53098965,107.864271
6441276-0,53196068,53144335,79.197814
6441276-1,53144335,53196069,84.579605
19795366-0,59594019,206250115,74.661597
22717007-2,243649113,243649114,198.188770
22717007-1,243649112,243649113,203.290227
22717007-0,243649111,243649112,205.857662
6433868-0,53075067,53188776,233.885582
6440443-0,53093610,53195106,97.815216
6498593-0,53197413,53174065,308.512970
6400817-0,53149358,94289980,52.141408
6400817-1,94289980,53149359,70.593038
6453691-14,243649147,53094589,50.393322
6453691-12,243649152,53206572,49.562230
