X,Y,NUMEROLIGN,CODCOM,COMMUNE,DESIGNATIO,TYPE,STATUT,ADRESSE,CODEPOSTAL,DATE_MAJ,IDT_SOURCE,IDLIGNE
5.378977466789536,43.285842618245148,                   83.0000000000,13206,MARSEILLE,DON BOSCO,LYCEE,PRIVE,RUE STANISLAS TORRENTS,,,0131466Y,84
5.377979420055123,43.287375769404441,                   84.0000000000,13206,MARSEILLE,SAINT VINCENT DE PAUL,LYCEE,PRIVE,RUE STANISLAS TORRENTS,,,0132835L,85
5.381177407764382,43.292641128546208,                   85.0000000000,13206,MARSEILLE,SAINT THOMAS D'AQUIN,LYCEE,PRIVE,RUE DIEUDE,,,0131343P,86
5.382458617398101,43.282396280429403,                   86.0000000000,13206,MARSEILLE,EDMOND ROSTAND,LYCEE,PRIVE,RUE EDMOND ROSTAND,,,0132193N,87
5.381686771591949,43.282712516455234,                   87.0000000000,13206,MARSEILLE,NOTRE DAME DE SION,LYCEE,PRIVE,RUE PARADIS,,,0131341M,88
5.381891310318796,43.286572386890072,                   88.0000000000,13206,MARSEILLE,SAINT JOSEPH MARISTES,LYCEE,PRIVE,RUE SAINTE VICTOIRE,,,0131331B,89
5.382377156982453,43.28618625236453,                   89.0000000000,13206,MARSEILLE,ECOLE PRATIQUE DE COMMERCE,LYCEE,PRIVE,RUE SAINTE VICTOIRE,,,,90
5.382209164051199,43.289035644694913,                   90.0000000000,13206,MARSEILLE,ESTHETIQUE ET PARFUMERIE  S.LACOM,LYCEE,PRIVE,RUE DE ROME,,,0131515B,91
5.382985683551629,43.294207338175582,                   91.0000000000,13206,MARSEILLE,INSTITUT LESCHI,LYCEE,PRIVE,COURS JULIEN,,,0131938L,92
5.388676228664695,43.288120330920606,                   92.0000000000,13206,MARSEILLE,MAXIMILIEN DE SULLY,LYCEE,PRIVE,RUE DE LODI,,,0131398Z,93
5.386719859254456,43.289407813890172,                   93.0000000000,13206,MARSEILLE,CRS BASTIDE,LYCEE,PRIVE,RUE DE LODI,,,0131344R,94
5.38802015085292,43.291535837303414,                   94.0000000000,13206,MARSEILLE,LIBRE DES METIERS,LYCEE,PRIVE,RUE DES BONS ENFANTS,,,0131434N,95
5.373559410640341,43.288076265479724,                   95.0000000000,13206,MARSEILLE,CEVENNES PROVENCE,LYCEE,PRIVE,BD NOTRE DAME,,,,96
5.378231864167518,43.287063169532203,                   96.0000000000,13206,MARSEILLE,SAINT VINCENT DE PAUL,LYCEE,PRIVE,RUE STANISLAS TORRENTS,,,0131403E,97
5.377256962740614,43.28943920173085,                   97.0000000000,13206,MARSEILLE,JEANNE MICHAUD  (SOINS ESTHETIQUE),LYCEE,PRIVE,RUE PISANCON,,,,98
5.3824719979016,43.294019575551765,                   98.0000000000,13206,MARSEILLE,GPE PLURALIS,LYCEE,PRIVE,BD THEODORE THURNER,,,0133567G,99
5.381891310318796,43.286572386890072,                   99.0000000000,13206,MARSEILLE,AMI,LYCEE,PRIVE,RUE SAINT SUFFREN,,,0133555U,100
5.382458617398101,43.282396280429403,                  100.0000000000,13206,MARSEILLE,IN PRO DENT,LYCEE,PRIVE,AVE DU PRADO,,,,101
5.377256962740614,43.28943920173085,                  101.0000000000,13206,MARSEILLE,ESTHETIQUE COIFFURE (DR Y LATO,LYCEE,PRIVE,,,,,102
5.377256771504036,43.289435420075804,                  102.0000000000,13206,MARSEILLE,ESTHETIQUE COIFFURE,LYCEE,PRIVE,BD DUGOMMIER,,,,103
5.384483130616291,43.269570465098418,                  103.0000000000,13208,MARSEILLE,DE PROVENCE,LYCEE,PRIVE,BD EMILE SICARD,,,0131323T,104
5.406338708908732,43.265856590007601,                  104.0000000000,13209,MARSEILLE,PROTHESISTES DENTAIRES,LYCEE,PRIVE,AVE DU PRADO,,,0133211V,105
5.408287068846614,43.24769186954385,                  105.0000000000,13209,MARSEILLE,SAINTE TRINITE,LYCEE,PRIVE,AVE DE LATTRE DE TASSIGNY,,,0131347U,106
5.421946723856757,43.262649599213908,                  106.0000000000,13209,MARSEILLE,GRANDE BASTIDE,LYCEE,PRIVE,AVE DE LA GRANDE BASTIDE,,,0131456M,107
5.42182533133173,43.262833748378,                  107.0000000000,13209,MARSEILLE,PASTRE - GRANDE BASTIDE,LYCEE,PRIVE,AVE DE LA GRANDE BASTIDE,,,0133303V,108
5.406338708908732,43.265856590007601,                  108.0000000000,13209,MARSEILLE,OLYMPIQUE DE MARSEILLE,LYCEE,PRIVE,AVE DU PRADO,,,,109
5.410850708099594,43.279059517867864,                  109.0000000000,13210,MARSEILLE,O.R.T. LEON BRAMSON,LYCEE,PRIVE,RUE DES FORGES,,,0133334D,110
5.410969368244399,43.278719248280133,                  110.0000000000,13210,MARSEILLE,O.R.T. LEON BRAMSON,LYCEE,PRIVE,RUE DES FORGES,,,0131424C,111
5.468702504349095,43.286503545243214,                  111.0000000000,13211,MARSEILLE,MODELE D'ELECTRONIQUE,LYCEE,PRIVE,BD DE SAINT MARCEL,,,0131436R,112
5.468827978698099,43.286772719137666,                  112.0000000000,13211,MARSEILLE,MODELE D'ELECTRONIQUE,LYCEE,PRIVE,BD DE SAINT MARCEL,,,0133277S,113
5.466157795219464,43.286713428318549,                  113.0000000000,13211,MARSEILLE,TECH INST CHIMIE BIOL FORBINE,LYCEE,PRIVE,BD DE LA FORBINE,,,0131681G,114
5.417997480190753,43.304688934605103,                  114.0000000000,13212,MARSEILLE,MARIE GASQUET,LYCEE,PRIVE,RUE DES ELECTRICIENS,,,0133474F,115
5.459829891313172,43.303634951293404,                  115.0000000000,13212,MARSEILLE,LA CADENELLE,LYCEE,PRIVE,BD DES LIBERATEURS,,,0133275P,116
5.460187414551842,43.30248232710403,                  116.0000000000,13212,MARSEILLE,LA CADENELLE,LYCEE,PRIVE,BD DES LIBERATEURS,,,0132828D,117
5.441764915128793,43.313909141256843,                  117.0000000000,13212,MARSEILLE,HAMASKAINE,LYCEE,PRIVE,TRAVERSE DES SABLES JAUNES,,,0133446A,118
5.417952394803689,43.304922114208239,                  118.0000000000,13212,MARSEILLE,MARIE GASQUET,LYCEE,PRIVE,RUE DES ELECTRICIENS,,,0131449E,119
5.424318354199539,43.309080103726693,                  119.0000000000,13212,MARSEILLE,MAESTRIS MARSEILLE HC,LYCEE,PRIVE,TRAV MARIDET,,,0133780N,120
5.404143978753531,43.320494538541951,                  120.0000000000,13213,MARSEILLE,LACORDAIRE,LYCEE,PRIVE,BD LACORDAIRE,,,0131324U,121
5.418304184190457,43.32859950870283,                  121.0000000000,13213,MARSEILLE,SEVIGNE,LYCEE,PRIVE,AVE DE SAINT JEROME,,,0131348V,122
5.417038939091901,43.335312270766188,                  122.0000000000,13213,MARSEILLE,JACQUES RAYNAUD,LYCEE,PRIVE,BD HERODOTE,,,0132790M,123
5.421176233261574,43.33520958605822,                  123.0000000000,13213,MARSEILLE,LES ABEILLES (CHARLOTTE GRAWITZ),LYCEE,PRIVE,BD REMUSAT,,,0131445A,124
5.423774385752449,43.336048288367458,                  124.0000000000,13213,MARSEILLE,ST FRANCOIS DE SALES (MAISON),LYCEE,PRIVE,BD MADELEINE REMUSAT,,,0133369S,125
5.410749175517513,43.31763066456913,                  125.0000000000,13213,MARSEILLE,YAVNE,LYCEE,PRIVE,BD BARRY,,,0132472S,126
5.388473733190982,43.344057459571033,                  126.0000000000,13214,MARSEILLE,TOUR SAINTE,LYCEE,PRIVE,AVE DE LA TOUR SAINTE,,,0131327X,127
5.362696757804953,43.334450993631371,                  127.0000000000,13215,MARSEILLE,LA CABUCELLE,LYCEE,PRIVE,BD DENIS PAPIN,,,0131463V,128
5.374705197835584,43.345918368579888,                  128.0000000000,13215,MARSEILLE,LA VIGIE,LYCEE,PRIVE,PCE LA BASTIDE  LA MAURELETTE,,,0131677C,129
5.355888102898135,43.346766383587124,                  129.0000000000,13215,MARSEILLE,SAINT LOUIS,LYCEE,PRIVE,RUE RENE MARIANI / 538 CH DE LA MADRAGUE,,,0131468A,130
5.339171207428785,43.365685445620443,                  130.0000000000,13216,MARSEILLE,ST HENRI,LYCEE,PRIVE,CH DE BERNEX,,,0131433M,131
5.340896190874046,43.361026291908082,                  131.0000000000,13216,MARSEILLE,ST ANDRE ROUTIERS,LYCEE,PRIVE,BD HENRI BARNIER,,,0131432L,132
5.426533854898239,43.305623482616092,                  132.0000000000,13212,MARSEILLE,DE L'OLIVIER-ROBERT COFFY-,LYCEE,PRIVE,AVE DES CAILLOLS,,,0131345S,133
5.493336842157481,43.299992731238184,                  133.0000000000,13211,MARSEILLE,MELIZAN,LYCEE,PRIVE,RTE DES CAMOINS,,,0131328Y,134
