X,Y,NUMEROLIGN,IDT_SOURCE,CODCOM,COMMUNE,STATUT_,DESIGNATIO,CENTROIDX,CENTROIDY,COMMUNES,TOTAL,TOTAL_R,IDLIGNE
5.362624130515724,43.299785006212225,                   83.0000000000,0133278T,                13202.0000000000,MARSEILLE,PRIVE,NOTRE DAME DE LA MAJOR,,,MARSEILLE 02,157,                  157.0000000000,79
5.367671051361924,43.306486451262685,                   84.0000000000,0131370U,                13202.0000000000,MARSEILLE,PRIVE,BELSUNCE,,,MARSEILLE 02,174,                  174.0000000000,80
5.360314665486854,43.298451561610577,                   85.0000000000,0130136C,                13202.0000000000,MARSEILLE,PUBLIC,VIEUX PORT,,,MARSEILLE 02,339,                  339.0000000000,81
5.3709130702781,43.313803377962614,                   86.0000000000,0131264D,                13203.0000000000,MARSEILLE,PUBLIC,VERSAILLES,,,MARSEILLE 03,459,                  459.0000000000,82
5.375893876735866,43.309412809438683,                   87.0000000000,0131935H,                13203.0000000000,MARSEILLE,PUBLIC,EDGAR QUINET,,,MARSEILLE 03,508,                  508.0000000000,83
5.383002443951701,43.316173528424834,                   88.0000000000,0131884C,                13203.0000000000,MARSEILLE,PUBLIC,BELLE DE MAI,,,MARSEILLE 03,514,                  514.0000000000,84
5.371568782827493,43.316107987961182,                   89.0000000000,0131375Z,                13203.0000000000,MARSEILLE,PRIVE,ST MAURONT,,,MARSEILLE 03,134,                  134.0000000000,85
5.381781742746202,43.314753314764978,                   90.0000000000,0132283L,                13203.0000000000,MARSEILLE,PRIVE,SAINT CHARLES,,,MARSEILLE 03,234,                  234.0000000000,86
5.390373290557585,43.302724877756205,                   91.0000000000,0132949K,                13204.0000000000,MARSEILLE,PRIVE,ST JOSEPH DE LA MADELEINE,,,MARSEILLE 04,538,                  538.0000000000,87
5.397647595370397,43.304423805152382,                   92.0000000000,0132923G,                13204.0000000000,MARSEILLE,PRIVE,CHEVREUL DE LA BLANCARDE,,,MARSEILLE 04,518,                  518.0000000000,88
5.398015191076957,43.31159085852115,                   93.0000000000,0131381F,                13204.0000000000,MARSEILLE,PRIVE,ST BRUNO,,,MARSEILLE 04,473,                  473.0000000000,89
5.401743581900345,43.307289904019569,                   94.0000000000,0132954R,                13204.0000000000,MARSEILLE,PRIVE,STE MARIE,,,MARSEILLE 04,351,                  351.0000000000,90
5.394622899907862,43.293942503514678,                   95.0000000000,0130093F,                13205.0000000000,MARSEILLE,PUBLIC,CAMPAGNE FRAISSINET,,,MARSEILLE 05,488,                  488.0000000000,91
